snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate
1328221,235,4.618993308179021,1.0762624258041282,40.72317362951201,1.927216937118338,57034.28278326837,0.1,1.5,535.8032237487664,True,True,True,True,True
1305966,109,3.479586404925423,5.315217897861325,49.662051145879055,5.39846951427225,56853.223,0.1,1.5,184.4180794610474,True,True,True,True,True
1341894,105,3.7294090584204382,3.1041634728028784,44.77441399961272,3.8049952383188597,57330.058042238765,0.1,1.5,190.19986197944235,True,True,True,True,True
1249720,84,4.740114992199593,1.9517824587009616,47.191235819943415,3.863284477573842,56514.29916804838,0.1,1.5,191.9746571840835,True,True,True,True,True
1302616,98,4.47137180799621,3.48877606866207,44.27674087902232,2.9039379955270377,56878.947799409354,0.1,1.5,212.39016087981997,True,True,True,True,True
1302707,71,6.592387891290596,1.5381843362378869,46.92416629846324,4.505574452229638,56896.77491738785,0.1,1.5,224.14118830388028,True,True,True,True,True
1273193,79,30.16100684000555,4.337100271950491,47.96868161634552,6.27305234503298,57198.38,0.1,1.5,1146.118259920211,True,False,True,True,False
1298670,74,5.151382810745236,0.3,10.577579676973151,-30.0,56862.085,0.1,1.5,182.8740897814559,True,True,True,True,True
1250185,108,12.672083697428487,0.3,-10.917536718607565,-30.0,56747.043,0.1,1.5,665.2843941149956,True,False,True,False,False
1936305,52,5.064903662979518,6.3844890987042175,51.20102623355488,5.908355053565202,57965.233,0.1,1.5,124.09013974299819,True,True,True,True,True
1304892,51,4.350928811991651,2.862159248235922,42.79097643561001,1.8764800816668483,56886.360490645595,0.1,1.5,104.42229148779963,True,True,True,True,True
1260986,79,3.968136515524682,3.4635766672868242,42.26883503852885,2.2945360477583705,56565.74911344467,0.1,1.5,150.7891875899379,True,True,True,True,True
1277854,99,10.733326801223237,2.4361519967929057,42.29089144453054,2.7826910208274143,57232.31350767985,0.1,1.5,515.1996864587154,True,False,True,True,False
1647070,111,3.2929898682286622,0.9667181818387303,40.00356062239271,-0.8609697402713898,57967.91994129097,0.1,1.5,177.82145288434776,True,True,True,True,True
1299437,67,2.8061697402206613,10.0,9.063664050499462,-30.0,57099.056,0.1,1.5,89.79743168706116,True,True,False,True,False
